,Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
54,Person search,2021-10-06T23:00:00+00:00,,,51.868241999999995,-4.292182,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
55,Person search,2021-10-06T23:00:00+00:00,,,51.868513,-4.291237000000001,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
56,Vehicle search,2021-10-06T23:00:00+00:00,,,51.868513,-4.291237000000001,,,,,Police and Criminal Evidence Act 1984 (section 1),Controlled drugs,A no further action disposal,,0.0
57,Person search,2021-10-06T23:00:00+00:00,,,,,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,0.0
58,Person search,2021-10-06T23:00:00+00:00,,,51.672447999999996,-4.159631,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,0.0
59,Person search,2021-10-06T23:00:00+00:00,,,51.680639,-4.16261,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
60,Person search,2021-10-06T23:00:00+00:00,,,51.857159,-3.140308,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
61,Person search,2021-10-06T23:00:00+00:00,,,51.680946,-4.158646,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
62,Person search,2021-10-06T23:00:00+00:00,,,51.682307,-4.161908,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
63,Person and Vehicle search,2021-10-07T23:00:00+00:00,,,51.798084,-4.079829,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,0.0
64,Person search,2021-10-07T23:00:00+00:00,,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,0.0
65,Person search,2021-10-07T23:00:00+00:00,,,52.11245,-4.079362000000001,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
66,Person search,2021-10-07T23:00:00+00:00,,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,0.0
67,Person search,2021-10-07T23:00:00+00:00,,,52.11245,-4.079362000000001,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
68,Person search,2021-10-07T23:00:00+00:00,,,52.417377,-4.081021,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,1.0
69,Person search,2021-10-07T23:00:00+00:00,,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
70,Person and Vehicle search,2021-10-07T23:00:00+00:00,,,52.511438,-3.9766019999999997,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,0.0
71,Person search,2021-10-07T23:00:00+00:00,,,51.857159,-3.140308,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
72,Person search,2021-10-08T23:00:00+00:00,,,52.413346000000004,-4.087757,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
73,Person search,2021-10-08T23:00:00+00:00,,,52.413346000000004,-4.087757,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
74,Person search,2021-10-08T23:00:00+00:00,,,,,Female,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
75,Person search,2021-10-08T23:00:00+00:00,,,,,Female,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
76,Person search,2021-10-08T23:00:00+00:00,,,51.674597999999996,-4.1586050000000006,Female,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,,0.0
77,Person search,2021-10-08T23:00:00+00:00,,,51.859857,-4.300237,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,0.0
78,Person search,2021-10-08T23:00:00+00:00,,,,,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
79,Person search,2021-10-08T23:00:00+00:00,,,,,Male,over 34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,0.0
80,Person search,2021-10-08T23:00:00+00:00,,,52.413346000000004,-4.087757,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
81,Person search,2021-10-09T23:00:00+00:00,,,,,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,0.0
82,Vehicle search,2021-10-09T23:00:00+00:00,,,,,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
83,Vehicle search,2021-10-09T23:00:00+00:00,,,51.762251,-4.964734,,,,,,Article for use in theft,Arrest,,0.0
84,Person search,2021-10-09T23:00:00+00:00,,,51.883036,-3.9945910000000002,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,1.0
85,Vehicle search,2021-10-09T23:00:00+00:00,,,51.798588,-4.082826,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
86,Person search,2021-10-09T23:00:00+00:00,,,,,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,0.0
87,Vehicle search,2021-10-09T23:00:00+00:00,,,,,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,0.0
88,Person search,2021-10-10T23:00:00+00:00,,,51.658829,-4.7262580000000005,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,0.0
89,Vehicle search,2021-10-10T23:00:00+00:00,,,51.65102,-4.769784,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,0.0
90,Person search,2021-10-10T23:00:00+00:00,,,52.088338,-4.653908,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,0.0
91,Person and Vehicle search,2021-10-10T23:00:00+00:00,,,52.511297,-3.320203,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,True,0.0
92,Person search,2021-10-10T23:00:00+00:00,,,52.088338,-4.653908,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,0.0
93,Person and Vehicle search,2021-10-10T23:00:00+00:00,,,52.665886,-3.131809,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,True,0.0
94,Person search,2021-10-10T23:00:00+00:00,,,52.237815000000005,-3.3785580000000004,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
95,Person search,2021-10-11T23:00:00+00:00,,,52.51491,-3.32513,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
96,Vehicle search,2021-10-11T23:00:00+00:00,,,,,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
97,Vehicle search,2021-10-11T23:00:00+00:00,,,51.739740000000005,-4.699954,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,0.0
98,Person search,2021-10-11T23:00:00+00:00,,,51.694065,-4.934787,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,True,0.0
99,Person search,2021-10-11T23:00:00+00:00,,,51.757134,-4.996238,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
100,Person search,2021-10-11T23:00:00+00:00,,,51.859,-4.3122620000000005,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
101,Person search,2021-10-11T23:00:00+00:00,,,51.859,-4.3122620000000005,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,0.0
102,Person and Vehicle search,2021-10-11T23:00:00+00:00,,,51.71586,-5.0552470000000005,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,0.0
103,Person search,2021-10-11T23:00:00+00:00,,,51.800925,-4.963268,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
104,Person search,2021-10-11T23:00:00+00:00,,,51.80222,-4.967575,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
105,Person search,2021-10-11T23:00:00+00:00,,,52.51491,-3.32513,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
106,Person search,2021-10-11T23:00:00+00:00,,,52.660655000000006,-3.148485,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
107,Person search,2021-10-11T23:00:00+00:00,,,,,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,Offensive weapons,Arrest,,0.0
108,Person search,2021-10-12T23:00:00+00:00,,,52.415664,-4.076117,Female,25-34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,0.0
109,Person search,2021-10-12T23:00:00+00:00,,,51.680946,-4.158646,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Offensive weapons,Arrest,,0.0
110,Person search,2021-10-12T23:00:00+00:00,,,51.778551,-3.7595709999999998,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,True,0.0
111,Person search,2021-10-12T23:00:00+00:00,,,51.789291,-3.9888410000000003,Female,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,0.0
112,Person search,2021-10-12T23:00:00+00:00,,,52.511438,-3.9766019999999997,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,0.0
113,Vehicle search,2021-10-12T23:00:00+00:00,,,51.668461,-4.15247,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,0.0
114,Person search,2021-10-12T23:00:00+00:00,,,51.865761,-4.289833,Female,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
115,Person and Vehicle search,2021-10-12T23:00:00+00:00,,,51.778551,-3.7595709999999998,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,True,0.0
116,Person search,2021-10-12T23:00:00+00:00,,,51.861839,-4.294979,Female,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,0.0
117,Vehicle search,2021-10-12T23:00:00+00:00,,,51.690602,-4.833787999999999,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
118,Person search,2021-10-12T23:00:00+00:00,,,51.778551,-3.7595709999999998,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,True,0.0
119,Person search,2021-10-13T23:00:00+00:00,,,52.415873,-4.078083,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
120,Person search,2021-10-13T23:00:00+00:00,,,51.673028,-4.157894000000001,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,0.0
121,Person search,2021-10-13T23:00:00+00:00,,,,,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
122,Person search,2021-10-13T23:00:00+00:00,,,51.694361,-4.821085,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,True,0.0
123,Person search,2021-10-13T23:00:00+00:00,,,51.690608000000005,-4.79942,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
124,Person search,2021-10-13T23:00:00+00:00,,,51.729411999999996,-5.01565,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
125,Person search,2021-10-13T23:00:00+00:00,,,52.415490999999996,-4.0823730000000005,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
126,Person search,2021-10-13T23:00:00+00:00,,,52.415409999999994,-4.083958,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
127,Person search,2021-10-13T23:00:00+00:00,,,52.414761999999996,-4.083971,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,0.0
128,Person search,2021-10-13T23:00:00+00:00,,,51.7796,-3.756161,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,0.0
129,Person search,2021-10-13T23:00:00+00:00,,,51.7796,-3.756161,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,0.0
130,Person search,2021-10-13T23:00:00+00:00,,,,,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,0.0
